代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00214,汇汉控股,-0.09,2.1,2315208823.62,-2062967085.57,31.804899576,40.6915187146,-25.886616250498,2025-03-31,HKD
00215,和记电讯香港,-215.9,53.97,4920742560.0,-22580500.0,17.3379280638,-516.6666666667,-0.267637297934,2025-12-31,HKD
00216,建业实业,-0.45,3.25,947963275.05,-520449357.93,-6.8374890149,-745.9522702386,-7.695927546485,2025-03-31,HKD
00217,中国诚通发展集团,16.7,7.99,522959863.9,43219980.22,4.7694960707,23.8604302022,1.677493312954,2025-12-31,HKD
00218,申万宏源香港,11.36,13.74,608154283.96,109231813.92,119.8697079041,175.2435822456,4.495360173189,2025-12-31,HKD
00219,顺豪物业,-2.35,4.17,646677520.18,-160540129.24,4.6779624342,38.6925313622,-2.551323381839,2025-12-31,HKD
00220,统一企业中国,14.18,321.79,31714309000.0,2050234000.0,4.5589451657,10.8762605327,15.186957329632,2025-12-31,HKD
00222,闽信集团,10.79,12.9,252190765.86,108026015.22,5.9523312602,36.38136289,1.482368085526,2025-12-31,HKD
00223,易生活控股,-8.1,1.91,163849389.33,-90287841.54,-3.5499712091,-205.6673331667,-112.048558421851,2025-03-31,HKD
00224,建生国际,-5.73,6.0,221415524.73,-149217919.68,-3.8275613276,-187.8740942513,-2.185589673705,2025-03-31,HKD
00225,博富临置业,-14.43,5.93,158664055.26,-196905135.54,3.8166525287,63.8801615799,-4.794789765388,2025-09-30,HKD
00227,第一上海,-4.45,4.18,327894150.16,-84897260.68,-19.1477988962,-220.5453099751,-3.804629517755,2025-12-31,HKD
00228,中能控股,24.16,6.25,211586510.76,23369914.28,-21.9402801057,-5.3759508484,1.323076938811,2025-12-31,HKD
00229,利民实业,9.18,4.26,978494354.8,41922053.08,0.7072393496,2.6426944426,6.904168845262,2025-12-31,HKD
00232,大陆航空科技控股,40.06,37.68,1805772520.42,84962292.52,10.7389461067,67.9450098197,3.100155904232,2025-12-31,HKD
00234,新世纪集团,-2.56,1.79,83297404.29,-51363794.97,2.2335232357,-348.3335564182,-3.628576038646,2025-03-31,HKD
00235,中策资本控股,-32.26,4.28,54007136.68,-11983922.96,-41.8566886104,-394.2559325793,-0.600584968311,2025-12-31,HKD
00236,香港生力啤,5.84,4.45,665963073.62,68752203.18,3.6790750847,478.7768710191,11.07595466249,2025-12-31,HKD
00237,安全货仓,-3.15,8.91,163767257.46,-245019670.47,0.1523770825,-116.4787319913,-7.1148428008,2025-03-31,HKD
00239,白花油,8.29,7.57,193180693.6,82505534.12,-9.6634130065,16.1734220199,12.559120506842,2025-12-31,HKD
00240,利基控股,4.33,19.62,12503007106.88,408916597.04,-3.6596073532,4.3170904801,16.215997435425,2025-12-31,HKD
00241,阿里健康,25.52,559.67,34255122000.0,1936162000.0,11.9510919106,35.1665390278,11.333327265203,2026-03-31,HKD
00242,信德集团,-3.53,16.9,2181219397.14,-431944190.94,-46.8725133653,41.9592912685,-1.5589294886,2025-12-31,HKD
00243,QPL INT'L,3.33,2.18,279785716.63,-986602.19,14.7514836372,98.2685604456,-0.328310359844,2025-04-30,HKD
00244,先施,-6.25,4.01,121203995.02,-57895498.78,2.2103908172,-59.6885899352,-389.766197440029,2025-12-31,HKD
00245,中薇金融,14.67,18.22,104067201.96,112139279.1,11.5221557582,-44.2791361482,2.795806481686,2025-12-31,HKD
00247,TST PROPERTIES,19.84,435.19,7510820200.0,2125755450.0,-6.5789473684,-7.0574162679,2.410759994415,2025-06-30,HKD
00248,香港通讯国际控股,-1.84,6070.99,78958257.63,-24683856.84,-51.4690701183,-21.7589220685,-11.635711908682,2025-03-31,HKD
00251,爪哇控股,-4.1,7.65,382025931.2,-168626657.9,2.1311942511,-36.5438202576,-4.815057632651,2025-12-31,HKD
